seed,survivors
15757460608351386302,4352
15757460608351386303,3584
15757460608351386304,4608
15757460608351386305,5120
15757460608351386306,4352
15757460608351386307,2816
15757460608351386308,6144
15757460608351386309,3328
15757460608351386310,3328
15757460608351386311,4608
15757460608351386312,5376
15757460608351386313,5376
15757460608351386314,3072
15757460608351386315,4096
15757460608351386316,2816
15757460608351386317,4096
15757460608351386318,4352
15757460608351386319,3072
15757460608351386320,3584
15757460608351386321,4864
15757460608351386322,4608
15757460608351386323,4608
15757460608351386324,4096
15757460608351386325,2560
15757460608351386326,5632
15757460608351386327,3584
15757460608351386328,4608
15757460608351386329,3328
15757460608351386330,3840
15757460608351386331,3584
15757460608351386332,3840
15757460608351386333,3584
15757460608351386334,7936
15757460608351386335,3584
15757460608351386336,4608
15757460608351386337,5120
15757460608351386338,5376
15757460608351386339,6144
15757460608351386340,4352
15757460608351386341,4352
15757460608351386342,6400
15757460608351386343,6912
15757460608351386344,2816
15757460608351386345,7680
15757460608351386346,4864
15757460608351386347,4608
15757460608351386348,2048
15757460608351386349,4608
15757460608351386350,5376
15757460608351386351,4352
15757460608351386352,4864
15757460608351386353,5632
15757460608351386354,3328
15757460608351386355,3584
15757460608351386356,4096
15757460608351386357,2816
15757460608351386358,3584
15757460608351386359,4352
15757460608351386360,2816
15757460608351386361,4608
15757460608351386362,4864
15757460608351386363,1792
15757460608351386364,3072
15757460608351386365,5632
15757460608351386366,4352
15757460608351386367,3328
15757460608351386368,2816
15757460608351386369,4864
15757460608351386370,3584
15757460608351386371,4352
15757460608351386372,6656
15757460608351386373,4608
15757460608351386374,4608
15757460608351386375,2048
15757460608351386376,6656
15757460608351386377,3840
15757460608351386378,6144
15757460608351386379,4352
15757460608351386380,4096
15757460608351386381,4608
15757460608351386382,6656
15757460608351386383,5120
15757460608351386384,4096
15757460608351386385,3328
15757460608351386386,4096
15757460608351386387,2816
15757460608351386388,2560
15757460608351386389,4864
15757460608351386390,5632
15757460608351386391,4096
15757460608351386392,3840
15757460608351386393,4096
15757460608351386394,5632
15757460608351386395,3840
15757460608351386396,3584
15757460608351386397,4608
15757460608351386398,6144
15757460608351386399,4096
15757460608351386400,4096
15757460608351386401,4352
15757460608351386402,4352
15757460608351386403,4864
15757460608351386404,2816
15757460608351386405,5632
15757460608351386406,3840
15757460608351386407,3072
15757460608351386408,5120
15757460608351386409,4864
15757460608351386410,1792
15757460608351386411,4864
15757460608351386412,5376
15757460608351386413,4608
15757460608351386414,4608
15757460608351386415,4864
15757460608351386416,6400
15757460608351386417,5632
15757460608351386418,4352
15757460608351386419,3328
15757460608351386420,6400
15757460608351386421,4608
